date,nav
1996-01-05,1000000.0
1996-01-12,1000000.0
1996-01-19,1000000.0
1996-01-26,1000000.0
1996-02-02,1000000.0
1996-02-09,1000000.0
1996-02-16,1000000.0
1996-02-23,1000000.0
1996-03-01,1000000.0
1996-03-08,1000000.0
1996-03-15,1000000.0
1996-03-22,1000000.0
1996-03-29,1000000.0
1996-04-05,1000000.0
1996-04-12,1000000.0
1996-04-19,1000000.0
1996-04-26,1000000.0
1996-05-03,1000000.0
1996-05-10,1000000.0
1996-05-17,1000000.0
1996-05-24,1000000.0
1996-05-31,1000000.0
1996-06-07,1000000.0
1996-06-14,1000000.0
1996-06-21,1000000.0
1996-06-28,1000000.0
1996-07-05,1000000.0
1996-07-12,1000000.0
1996-07-19,1000000.0
1996-07-26,1000000.0
1996-08-02,1000000.0
1996-08-09,1000000.0
1996-08-16,1000000.0
1996-08-23,1000000.0
1996-08-30,1000000.0
1996-09-06,1000000.0
1996-09-13,1000000.0
1996-09-20,1000000.0
1996-09-27,1000000.0
1996-10-04,1000000.0
1996-10-11,1000000.0
1996-10-18,1000000.0
1996-10-25,1000000.0
1996-11-01,1000000.0
1996-11-08,1000000.0
1996-11-15,1000000.0
1996-11-22,1000000.0
1996-11-29,1000000.0
1996-12-06,1000000.0
1996-12-13,1000000.0
1996-12-20,1000000.0
1996-12-27,1000000.0
1997-01-03,1000000.0
1997-01-10,1020081.01954205
1997-01-17,1038566.090089285
1997-01-24,1030385.3267675277
1997-01-31,1040922.7461591144
1997-02-07,1049214.2870532651
1997-02-14,1069089.627563872
1997-02-21,1058029.490061192
1997-02-28,1103722.6693992896
1997-03-07,1162499.7106097026
1997-03-14,1036031.0274411675
1997-03-21,1027037.6183729407
1997-03-28,1024796.6665922638
1997-04-04,1004321.2774417636
1997-04-11,1018715.3998222586
1997-04-18,1048409.824101114
1997-04-25,1099530.513628268
1997-05-02,1110298.224331164
1997-05-09,1141950.986736202
1997-05-16,1138829.130275273
1997-05-23,1122752.087705278
1997-05-30,1152674.9680279728
1997-06-06,1216143.8046179053
1997-06-13,1278727.3399635789
1997-06-20,1313019.0206250187
1997-06-27,1339871.4315248963
1997-07-04,1370611.2008615967
1997-07-11,1476092.4208218046
1997-07-18,1445136.220370371
1997-07-25,1412436.9534953423
1997-08-01,1472333.260831613
1997-08-08,1510803.066743154
1997-08-15,1486089.6878563352
1997-08-22,1431958.0919200368
1997-08-29,1391252.4526451677
1997-09-05,1451204.1428695768
1997-09-12,1488391.6332104057
1997-09-19,1481058.582207784
1997-09-26,1524301.152120218
1997-10-03,1538563.1402497145
1997-10-10,1583282.4273381084
1997-10-17,1580143.2179757208
1997-10-24,1543573.0248057789
1997-10-31,1639977.606761164
1997-11-07,1473180.7157578082
1997-11-14,1433480.4632512613
1997-11-21,1448149.7031837984
1997-11-28,1461276.5908211751
1997-12-05,1481164.169692783
1997-12-12,1380105.7356303968
1997-12-19,1405735.9506504573
1997-12-26,1415424.7059136666
1998-01-02,1421833.5269618072
1998-01-09,1396904.8301558532
1998-01-16,1406803.092603568
1998-01-23,1402247.1184906997
1998-01-30,1376393.486530579
1998-02-06,1377470.3637876876
1998-02-13,1368029.1099708588
1998-02-20,1378641.1693335087
1998-02-27,1406750.94313567
1998-03-06,1406340.0330130132
1998-03-13,1413389.6702221471
1998-03-20,1460911.8700234387
1998-03-27,1460734.0971914395
1998-04-03,1531540.3021283017
1998-04-10,1560421.8441579207
1998-04-17,1593550.6847858296
1998-04-24,1583417.9097186527
1998-05-01,1585787.8096471033
1998-05-08,1619708.8624361954
1998-05-15,1602175.1456350288
1998-05-22,1666340.8916973076
1998-05-29,1644324.4118507109
1998-06-05,1552177.8902046452
1998-06-12,1531176.7164181147
1998-06-19,1455278.5942302619
1998-06-26,1435420.7939767302
1998-07-03,1430466.92696406
1998-07-10,1493241.183181063
1998-07-17,1507900.6678544676
1998-07-24,1474356.8806869185
1998-07-31,1544855.2609817183
1998-08-07,1572817.7082587874
1998-08-14,1526848.615321318
1998-08-21,1517180.046736399
1998-08-28,1502576.718185044
1998-09-04,1481107.9075629716
1998-09-11,1476456.9978232388
1998-09-18,1468563.321130753
1998-09-25,1508391.5367836957
1998-10-02,1499619.803702355
1998-10-09,1463707.3840804107
1998-10-16,1465372.3774753076
1998-10-23,1461164.5508382206
1998-10-30,1464747.074340809
1998-11-06,1465877.1002309208
1998-11-13,1476308.127480734
1998-11-20,1469294.6431786781
1998-11-27,1453428.482163163
1998-12-04,1471639.716457765
1998-12-11,1498161.6020778823
1998-12-18,1488475.8724774146
1998-12-25,1497630.3685635352
1999-01-01,1367117.947582196
1999-01-08,1427289.1205152976
1999-01-15,1465600.28523291
1999-01-22,1580689.9687031591
1999-01-29,1613855.4238728369
1999-02-05,1608088.0792466486
1999-02-12,1713317.4138580645
1999-02-19,1683176.259464153
1999-02-26,1628420.7830237234
1999-03-05,1864647.8545397604
1999-03-12,1919355.8278130377
1999-03-19,1916561.6464649523
1999-03-26,1890479.912289747
1999-04-02,2017855.2644528234
1999-04-09,1881634.0120047415
1999-04-16,1999694.3654326284
1999-04-23,1990510.3360416377
1999-04-30,1966413.2283561314
1999-05-07,2043475.5397598827
1999-05-14,2057697.203656801
1999-05-21,2046987.6974502886
1999-05-28,1988803.066017815
1999-06-04,2016177.8384179557
1999-06-11,2008223.4203898394
1999-06-18,2012619.0318262065
1999-06-25,2098613.1298161233
1999-07-02,2126023.1804925883
1999-07-09,2261752.4959136928
1999-07-16,2382604.8371693576
1999-07-23,2462637.874951788
1999-07-30,2444429.8305955613
1999-08-06,2632828.2135443175
1999-08-13,2686889.1717291987
1999-08-20,2858681.866486148
1999-08-27,2896799.990865201
1999-09-03,2821773.9413354103
1999-09-10,2957255.867548317
1999-09-17,3012825.3557125037
1999-09-24,3235187.396788067
1999-10-01,3106597.0235940497
1999-10-08,3253098.941993503
1999-10-15,3165679.714471466
1999-10-22,3174078.109609553
1999-10-29,2879008.9144361783
1999-11-05,2971796.699971037
1999-11-12,3009939.580161648
1999-11-19,3107533.7578116227
1999-11-26,3257408.1862192918
1999-12-03,3328438.0927431984
1999-12-10,3516196.161016852
1999-12-17,3744433.642308146
1999-12-24,3855189.340733439
1999-12-31,3997649.153495223
2000-01-07,4070727.269659192
2000-01-14,3931542.15927735
2000-01-21,4130993.6353081767
2000-01-28,4387297.870060116
2000-02-04,4680098.872588068
2000-02-11,4964279.582579684
2000-02-18,5103828.762961031
2000-02-25,4736272.83437407
2000-03-03,5093874.110197435
2000-03-10,4975307.791581765
2000-03-17,4354197.808996335
2000-03-24,4808811.5694681555
2000-03-31,4504712.298861295
2000-04-07,4286668.991735727
2000-04-14,4361139.2148373425
2000-04-21,3832408.5759374294
2000-04-28,3986941.7006774577
2000-05-05,4123609.9886780414
2000-05-12,3781154.298442522
2000-05-19,3781799.4242493305
2000-05-26,3667720.582460085
2000-06-02,3720397.8637663517
2000-06-09,3727366.976841608
2000-06-16,3720231.4903251324
2000-06-23,3732163.93857638
2000-06-30,3721272.8764778767
2000-07-07,3815280.6511694584
2000-07-14,3852144.2465959606
2000-07-21,3778236.439239603
2000-07-28,3729754.6114383205
2000-08-04,3684209.275232838
2000-08-11,3685927.8443899616
2000-08-18,3699269.6008930667
2000-08-25,3692471.939266251
2000-09-01,3698848.0217533573
2000-09-08,3762490.6879005893
2000-09-15,3726556.1966057285
2000-09-22,3663648.128439772
2000-09-29,3668020.690596449
2000-10-06,3665807.94367491
2000-10-13,3641684.7651648447
2000-10-20,3641684.7651648447
2000-10-27,3641684.7651648447
2000-11-03,3641684.7651648447
2000-11-10,3641684.7651648447
2000-11-17,3641684.7651648447
2000-11-24,3678832.5460652704
2000-12-01,3657642.2604016657
2000-12-08,3671048.339512765
2000-12-15,3663696.599759042
2000-12-22,3670183.4059152002
2000-12-29,3669318.584217965
2001-01-05,3677967.556517541
2001-01-12,3676670.2120713587
2001-01-19,3691373.551703393
2001-01-26,3742835.5621289606
2001-02-02,3661011.6282489654
2001-02-09,3746162.99944672
2001-02-16,3692410.700017067
2001-02-23,3593584.9556033933
2001-03-02,3637309.1064786636
2001-03-09,3551198.804977002
2001-03-16,3392861.81105732
2001-03-23,3387866.824070206
2001-03-30,3342072.2030080203
2001-04-06,3338238.209981287
2001-04-13,3231607.6434393264
2001-04-20,3231607.6434393264
2001-04-27,3231607.6434393264
2001-05-04,3231607.6434393264
2001-05-11,3231607.6434393264
2001-05-18,3234251.831071563
2001-05-25,3222437.7973114923
2001-06-01,3219902.423295684
2001-06-08,3216400.134210296
2001-06-15,3236819.3261014847
2001-06-22,3227357.4272453217
2001-06-29,3179777.5196990687
2001-07-06,3180167.165311385
2001-07-13,3207102.7858176716
2001-07-20,3206894.8356180675
2001-07-27,3184181.096931983
2001-08-03,3246403.192947436
2001-08-10,3225396.0218000896
2001-08-17,3243792.1396790035
2001-08-24,3251827.145387698
2001-08-31,3246371.6190667637
2001-09-07,3283122.9836755665
2001-09-14,3177899.6854797276
2001-09-21,3161657.8175806887
2001-09-28,3168922.0407557376
2001-10-05,3147474.4248657306
2001-10-12,3524388.749053963
2001-10-19,3180261.6027679523
2001-10-26,3227607.770187386
2001-11-02,3202711.491897591
2001-11-09,3216796.983352669
2001-11-16,3214074.6406555255
2001-11-23,3170989.640899666
2001-11-30,3167951.66781617
2001-12-07,3163453.7336273273
2001-12-14,3159488.462890633
2001-12-21,3150543.9176897127
2001-12-28,3150543.9176897127
2002-01-04,3150543.9176897127
2002-01-11,3150543.9176897127
2002-01-18,3150543.9176897127
2002-01-25,3150543.9176897127
2002-02-01,3161635.9438238814
2002-02-08,3217560.7821241096
2002-02-15,3359216.2662171307
2002-02-22,3526060.833171169
2002-03-01,3524978.023176996
2002-03-08,3490449.6013773363
2002-03-15,3464196.209845869
2002-03-22,3435540.805637924
2002-03-29,3460367.865345327
2002-04-05,3690656.7171569746
2002-04-12,3631990.3615639037
2002-04-19,3594703.866446192
2002-04-26,3665107.8301572152
2002-05-03,3841163.064011982
2002-05-10,3866404.28053861
2002-05-17,3869637.4354336774
2002-05-24,3672673.86715304
2002-05-31,3645805.7392514264
2002-06-07,3969593.9534411943
2002-06-14,4181270.9859205997
2002-06-21,4229976.061997257
2002-06-28,4310336.340136133
2002-07-05,4530936.969433628
2002-07-12,4380969.386291467
2002-07-19,4275722.706532918
2002-07-26,4010967.4507219302
2002-08-02,3912433.439273904
2002-08-09,3982902.684471558
2002-08-16,4020536.1415937645
2002-08-23,4024557.1593454583
2002-08-30,3967857.5052355034
2002-09-06,3958823.0739683644
2002-09-13,3986738.499359919
2002-09-20,3915999.8362999693
2002-09-27,3914445.17679815
2002-10-04,3902824.865247652
2002-10-11,4077562.0823911875
2002-10-18,4060162.1541048014
2002-10-25,4013425.932878109
2002-11-01,4159819.0853405916
2002-11-08,4138232.3119741403
2002-11-15,4030625.1458941423
2002-11-22,4009160.9457722628
2002-11-29,4103919.478815466
2002-12-06,4091907.0230430663
2002-12-13,4086040.029110819
2002-12-20,4048262.5421338524
2002-12-27,4056131.2169661964
2003-01-03,4129038.938754623
2003-01-10,4143083.5298405336
2003-01-17,4187648.02846009
2003-01-24,4146558.4069829634
2003-01-31,4103616.743846004
2003-02-07,4151614.142555778
2003-02-14,4016393.013222478
2003-02-21,4124227.520241044
2003-02-28,4075719.9749500966
2003-03-07,3840337.634954517
2003-03-14,3822917.5337010087
2003-03-21,3821538.335441655
2003-03-28,3792721.0296402634
2003-04-04,3812483.338112897
2003-04-11,3818649.239185399
2003-04-18,3820544.9284245768
2003-04-25,3803723.079853753
2003-05-02,3825702.5881631174
2003-05-09,3804641.2455093088
2003-05-16,3869919.1323396387
2003-05-23,3994860.383669632
2003-05-30,4103261.3490666607
2003-06-06,4182041.5550879375
2003-06-13,4220562.072709493
2003-06-20,4415381.4066700265
2003-06-27,4454448.3617333695
2003-07-04,4713133.640472345
2003-07-11,4861271.526472501
2003-07-18,4998652.353196077
2003-07-25,5032415.333941393
2003-08-01,5053924.164460115
2003-08-08,5245415.5809196755
2003-08-15,5319844.1032122895
2003-08-22,5615823.834695034
2003-08-29,5671449.309862547
2003-09-05,5818919.935091905
2003-09-12,5778338.695398264
2003-09-19,5557334.846004896
2003-09-26,5777235.393046074
2003-10-03,6131845.325498514
2003-10-10,6431923.395466737
2003-10-17,6585528.969394617
2003-10-24,6319629.369874172
2003-10-31,6597178.066589527
2003-11-07,6727436.603111438
2003-11-14,6671228.57554882
2003-11-21,6737971.299296074
2003-11-28,7063082.654272728
2003-12-05,7582205.402261429
2003-12-12,8185764.893067054
2003-12-19,8485840.470660858
2003-12-26,8724481.92858284
2004-01-02,9453423.746478729
2004-01-09,9535702.605151348
2004-01-16,9710090.401048832
2004-01-23,9407500.145829372
2004-01-30,9236878.833342724
2004-02-06,8940511.306021385
2004-02-13,9546417.047045879
2004-02-20,9304866.767693691
2004-02-27,8985796.536479644
2004-03-05,9424239.939708881
2004-03-12,8866833.8258745
2004-03-19,8461934.114367656
2004-03-26,8543292.331373386
2004-04-02,9221156.390091114
2004-04-09,9053302.401142769
2004-04-16,8964650.242171507
2004-04-23,9035586.210996889
2004-04-30,8711747.5847918
2004-05-07,8680317.581132915
2004-05-14,7659864.6497842
2004-05-21,7496922.470460253
2004-05-28,7502573.951393748
2004-06-04,7465042.946857617
2004-06-11,7573506.051407025
2004-06-18,7519528.424902127
2004-06-25,7480383.656881497
2004-07-02,7536496.672126935
2004-07-09,7470745.547472165
2004-07-16,7539276.937664197
2004-07-23,7561459.767059034
2004-07-30,7629370.1090351995
2004-08-06,7592454.561206525
2004-08-13,7662482.854348844
2004-08-20,7674677.874450391
2004-08-27,7819086.785327619
2004-09-03,7819496.369953055
2004-09-10,7885871.452963963
2004-09-17,7994554.323410302
2004-09-24,7964096.258973462
2004-10-01,8251691.791480042
2004-10-08,8504189.776011325
2004-10-15,8586285.903224088
2004-10-22,8549178.138075806
2004-10-29,8628832.084344842
2004-11-05,8740998.063067533
2004-11-12,9120074.809891678
2004-11-19,9223967.560349561
2004-11-26,9404944.193305112
2004-12-03,9386383.312700607
2004-12-10,9244039.54677651
2004-12-17,9477049.485439517
2004-12-24,9691445.16837237
2004-12-31,9796346.654893972
2005-01-07,9430448.528036477
2005-01-14,9057615.339672066
2005-01-21,9192448.989478327
2005-01-28,9572403.976722337
2005-02-04,9829290.075485326
2005-02-11,10175830.061374761
2005-02-18,10074343.718930637
2005-02-25,10205928.46274219
2005-03-04,10405502.145238977
2005-03-11,10867931.584940536
2005-03-18,10643116.024625402
2005-03-25,10204596.254349954
2005-04-01,10614260.014299542
2005-04-08,10499164.668340117
2005-04-15,10218631.64027829
2005-04-22,10439989.862827355
2005-04-29,10263586.800450724
2005-05-06,10435341.369332712
2005-05-13,10735120.25770846
2005-05-20,10801100.879482897
2005-05-27,11216853.184990557
2005-06-03,11414340.742387565
2005-06-10,11730275.706177741
2005-06-17,11875109.068119556
2005-06-24,12124478.528277667
2005-07-01,12656991.707033664
2005-07-08,13364788.756183177
2005-07-15,13803885.827450782
2005-07-22,13793431.106389552
2005-07-29,13958921.118964702
2005-08-05,14420155.062156461
2005-08-12,14192979.096264623
2005-08-19,14130446.685916206
2005-08-26,13891464.526330732
2005-09-02,14043449.986390375
2005-09-09,14174201.794454357
2005-09-16,14774820.72342994
2005-09-23,14718215.942154191
2005-09-30,15318806.592730304
2005-10-07,15586882.822740816
2005-10-14,15061448.061906122
2005-10-21,14391376.877623722
2005-10-28,13536723.07867461
2005-11-04,13825162.324241456
2005-11-11,14445695.2878769
2005-11-18,14750358.838631283
2005-11-25,15238515.662551533
2005-12-02,15716850.907455575
2005-12-09,16094749.589319361
2005-12-16,16544591.4106542
2005-12-23,16628258.541924607
2005-12-30,16763381.54117645
2006-01-06,17014865.146980897
2006-01-13,17023543.539361607
2006-01-20,17198206.349138867
2006-01-27,17792672.716868535
2006-02-03,18208576.230352536
2006-02-10,18971232.70964445
2006-02-17,19004120.791108266
2006-02-24,19584078.969361436
2006-03-03,20073754.944997918
2006-03-10,20196375.408678185
2006-03-17,19803061.65532221
2006-03-24,20399713.907004487
2006-03-31,20580015.84987177
2006-04-07,20770054.025460374
2006-04-14,19988486.98265543
2006-04-21,20555375.026498582
