Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
1997-01-03,1997-12-12,343,0.92,2.57,1775859.81
1997-01-03,1998-01-30,392,3.53,5.86,653049.07
1997-01-03,1998-01-30,392,1.58,2.78,758078.27
1997-01-24,1997-11-14,294,6.05,7.96,309796.07
1997-02-14,1997-10-31,259,48.61,68.53,402716.67
1997-03-07,1997-08-29,175,19.3,17.14,-116756.37
1997-03-07,1997-03-14,7,54.49,4.75,-913284.27
1997-08-08,1997-11-14,98,1.82,1.69,-76119.67
1998-02-27,1998-06-05,98,6.98,6.71,-72874.19
1998-03-06,1998-06-26,112,83.16,79.66,-65695.04
1998-03-20,1998-10-16,210,3.76,5.39,1176853.71
1998-07-17,1998-10-23,98,91.48,86.47,-79454.08
1998-08-21,1998-12-04,105,2.19,1.9,-127484.11
1998-12-11,1999-10-22,315,94.47,125.23,401046.89
1998-12-25,2000-05-12,504,6.82,64.14,33060190.37
1998-12-25,1999-04-09,105,3.82,3.01,-214617.53
1998-12-25,1999-01-01,7,29.61,3.1,-77661.16
1999-01-08,1999-08-13,217,8.84,9.95,189425.69
1999-03-26,2000-04-21,392,2.88,9.47,1810178.52
1999-05-07,2000-07-28,448,2.91,9.43,3907420.21
1999-05-14,2000-03-10,301,9.59,11.36,233690.8
1999-05-21,1999-09-17,119,16.04,13.46,-145512.5
1999-07-09,2000-02-11,217,4.44,4.87,72650.6
1999-12-03,2000-09-22,294,2.64,5.18,956472.38
2000-01-07,2000-01-28,21,4.47,3.75,-1483.39
2000-02-25,2000-03-10,14,171.62,129.97,-408754.37
2000-07-07,2000-10-13,98,19.36,17.06,-190103.06
2000-11-17,2001-02-16,91,6.19,5.8,-132585.79
2001-01-26,2001-04-13,77,20.46,15.94,-304331.96
2001-02-02,2001-04-13,70,3.83,3.09,-1495.24
2001-02-09,2001-03-30,49,16.45,12.89,-162812.55
2001-05-11,2001-06-29,49,11.82,9.96,-420763.26
2002-02-08,2002-04-19,70,130.19,116.06,-141166.02
2002-02-15,2002-07-26,161,5.94,5.72,-74994.92
2002-02-22,2002-05-24,91,12.49,11.83,-126194.93
2002-04-05,2002-09-06,154,2.8,2.78,-12468.79
2002-06-14,2002-09-27,105,3.82,3.37,-733.05
2002-11-22,2003-03-07,105,43.78,38.03,-5021386.36
2002-11-22,2004-05-14,539,16.73,35.48,638074.54
2002-12-13,2003-03-14,91,7.19,6.35,-214253.92
2002-12-27,2003-03-14,77,4.32,3.9,-545.2
2003-02-07,2004-06-04,483,10.1,14.88,2641656.41
2003-02-07,2003-03-07,28,1.83,1.44,-214394.79
2003-05-02,2004-05-21,385,7.54,21.08,2733632.47
2003-05-30,2004-04-30,336,17.48,30.81,791256.85
2003-05-30,2004-04-30,336,4.57,10.88,6578.32
2003-06-06,2005-04-01,665,13.18,37.06,3700992.87
2003-06-06,2004-05-14,343,7.82,10.36,563848.53
2003-07-04,2004-05-14,315,41.94,83.94,991501.42
2003-07-04,2004-02-27,238,0.41,0.52,275731.55
2003-07-11,2004-05-14,308,20.11,36.12,787147.15
2003-07-25,2004-05-14,294,1.96,3.48,603520.73
2003-07-25,2004-06-04,315,19.45,54.97,1812305.31
2003-08-15,2004-05-28,287,556.57,931.4,665029.19
2003-08-22,2004-02-20,182,112.83,108.3,-49867.26
2003-10-03,2004-02-06,126,3.65,4.24,131497.28
2003-11-07,2004-04-02,147,47.52,47.69,-45832.69
2004-05-07,2005-04-22,350,71.78,94.11,304613.13
2004-07-16,2005-04-15,273,57.62,76.52,10269603.78
2004-08-27,2005-10-28,427,6.57,17.31,1585045.54
2004-09-03,2006-05-19,623,0.69,3.39,4998065.0
2004-09-10,2005-10-28,413,16.28,25.75,4763576.72
2004-09-17,2006-06-02,623,13.56,28.98,2629991.1
2004-10-08,2005-04-29,203,14.24,16.07,1398.88
2004-11-05,2006-04-14,525,44.75,80.36,1406099.64
2004-11-26,2006-06-09,560,4.71,12.68,2331717.06
2004-12-03,2005-10-21,322,30.68,41.06,1416914.64
2004-12-10,2006-06-02,539,77.96,151.59,2628873.3
2004-12-31,2005-04-29,119,46.02,41.28,-130349.13
2005-03-11,2005-04-15,35,35.12,31.64,-190437.77
2005-06-03,2006-06-02,364,88.46,115.0,12392517.81
2005-06-17,2008-02-08,966,36.73,242.58,9191133.9
2005-06-17,2006-06-09,357,44.64,57.73,1651036.9
2005-06-24,2006-06-09,350,104.85,135.65,304229.03
2005-06-24,2006-06-09,350,96.05,173.34,1584477.51
2005-07-29,2006-02-03,189,57.54,61.63,71258.84
2005-08-05,2006-06-09,308,432.17,666.04,533444.81
2005-08-26,2006-07-21,329,386.95,573.65,791027.45
2005-09-30,2006-06-09,252,120.3,136.16,164605.2
2005-11-11,2006-05-19,189,26.14,29.12,277939.81
2005-12-02,2006-05-26,175,49.46,53.47,430504.46
2005-12-16,2006-06-09,175,29.54,30.23,238747.83
2006-03-03,2006-09-01,182,22.24,25.2,1631.03
2006-03-17,2006-04-28,42,69.15,63.47,-99946.48
