Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
1997-01-03,1999-10-15,1015,10.9,60.56,4526675.37
1997-01-10,1997-08-29,231,11.46,14.32,243699.43
1997-03-07,1997-11-07,245,11.12,9.09,-186440.63
1997-07-04,1998-11-20,504,0.61,5.03,7211673.33
1997-07-25,1997-10-31,98,66.33,59.65,-105170.98
1997-07-25,1997-12-12,140,13.47,12.32,-89851.35
1998-02-06,1998-06-12,126,14.88,16.08,68919.19
1998-03-13,1998-06-26,105,1.61,0.96,-405401.92
1998-04-17,1998-07-03,77,19.53,14.38,-332876.85
1998-07-10,1998-09-04,56,21.22,17.58,-171787.65
1998-10-16,1998-11-27,42,19.63,17.75,-91372.46
1999-01-08,2000-02-11,399,21.65,76.77,2071620.64
1999-01-08,1999-09-24,259,7.15,4.13,-3488906.93
1999-01-08,2000-03-03,420,24.99,55.64,980794.27
1999-04-16,2000-02-18,308,0.91,2.8,2080048.34
1999-07-09,1999-10-29,112,55.15,47.53,-127516.86
1999-08-20,1999-10-29,70,0.98,0.76,-138056.16
1999-10-01,2000-04-28,210,18.23,48.38,7748350.38
2000-01-07,2000-01-28,21,70.76,54.27,-181661.82
2000-03-24,2000-04-21,28,71.04,56.62,-370223.67
2001-02-02,2001-03-16,42,0.56,0.34,-182358.77
2001-06-08,2001-09-21,105,5.19,4.92,-46026.84
2001-06-29,2001-12-21,175,69.16,78.13,175921.81
2001-08-31,2001-10-05,35,81.75,69.46,-446698.72
2002-01-25,2003-03-07,406,2.24,5.53,4497706.04
2002-02-08,2003-04-18,434,6.61,14.81,944641.53
2002-04-26,2002-10-18,175,0.36,0.48,85727.75
2003-05-16,2004-05-21,371,7.35,15.77,8604931.31
2003-05-16,2004-05-14,364,16.69,31.43,1496050.66
2003-05-23,2004-04-16,329,0.87,2.87,825871.81
2003-06-13,2004-04-30,322,47.79,76.67,349352.08
2003-06-20,2004-02-20,245,91.02,103.52,209774.11
2003-07-04,2004-02-27,238,19.54,22.88,164999.81
2003-07-04,2004-03-19,259,6.69,8.87,319172.18
2003-07-11,2003-11-21,133,39.96,39.89,-36443.6
2003-08-15,2004-02-27,196,655.43,885.67,344320.88
2003-08-22,2004-05-14,266,136.07,221.08,616697.59
2003-08-29,2004-03-19,203,68.33,75.08,228116.8
2003-10-31,2004-04-02,154,14.72,17.58,188327.6
2003-12-05,2004-04-09,126,43.15,44.61,157211.84
2003-12-19,2004-03-19,91,24.46,20.6,-2021294.91
2004-09-03,2005-03-25,203,25.47,28.27,1090466.81
2004-09-10,2005-01-07,119,23.56,23.06,-31101.64
2004-09-24,2005-02-18,147,98.1,93.28,-143982.93
2004-10-01,2005-06-10,252,4.63,8.15,889659.61
2004-11-05,2006-05-19,560,51.43,114.83,6899285.76
2004-12-24,2005-04-29,126,27.61,24.35,-122402.84
2004-12-24,2005-04-29,126,280.35,257.31,-140263.06
2004-12-31,2005-03-25,84,1106.36,998.09,-137598.79
2004-12-31,2007-01-26,756,12.24,20.86,918521.17
2005-01-28,2005-07-29,182,20.17,22.94,2127348.84
2005-01-28,2006-05-19,476,27.27,46.03,791628.65
2005-03-04,2005-04-29,56,40.41,36.73,-306623.55
2005-03-11,2005-04-15,35,99.82,87.54,-119110.8
2005-04-22,2010-01-08,1722,435.16,103.06,-764253.0
2005-05-13,2006-06-16,399,1115.26,2234.53,1198657.08
2005-05-27,2006-04-14,322,296.29,434.9,679825.4
2005-06-03,2005-10-28,147,42.44,42.46,-13542.5
2005-06-24,2006-05-19,329,28.59,37.42,349811.22
2005-07-01,2006-06-09,343,109.58,176.61,1526378.76
2005-09-02,2005-10-21,49,101.77,88.02,-113723.74
2005-09-16,2006-05-26,252,33.74,41.9,2717443.93
2005-09-16,2006-06-09,266,11.91,14.23,391560.57
2005-10-07,2006-06-09,245,82.29,106.68,522908.65
2005-12-09,2006-05-26,168,52.12,55.7,183013.41
2005-12-23,2006-05-19,147,48.03,53.4,106232.37
2006-01-06,2006-06-09,154,116.64,120.69,20735.53
2006-05-12,2006-06-09,28,25.94,18.53,-5294358.55
2006-09-29,2007-03-02,154,55.03,57.59,80878.19
2006-10-06,2007-03-09,154,27.85,24.65,-1555609.56
2006-10-13,2007-03-09,147,49.69,50.42,134990.97
2006-10-27,2008-03-07,497,27.65,77.49,1569698.67
2006-11-24,2008-02-01,434,68.26,95.52,434041.44
2007-01-05,2007-08-17,224,24.61,24.47,-26282.12
2007-01-12,2007-03-02,49,67.87,58.7,-428028.0
2007-01-19,2007-03-16,56,50.23,45.45,-150190.55
2007-04-13,2008-07-04,448,67.2,86.84,582361.83
2007-04-27,2007-06-08,42,68.08,63.54,-188458.65
2007-05-04,2007-07-27,84,51.88,47.64,-117032.96
2007-06-01,2007-10-05,126,119.07,110.33,-979794.69
2007-08-03,2007-12-21,140,32.75,33.74,289152.65
2007-08-31,2008-03-28,210,27.95,46.14,1569213.44
2007-09-28,2008-01-25,119,71.49,76.94,173742.04
2007-10-12,2007-11-02,21,420.9,375.1,-244180.92
2007-10-26,2008-01-25,91,150.15,134.75,-77367.24
2007-11-23,2008-01-25,63,46.1,41.91,-213387.64
2008-02-29,2008-03-21,21,424.07,362.1,-287514.87
2008-04-25,2008-10-10,168,197.96,173.13,-526302.21
2008-04-25,2008-06-27,63,449.82,380.22,-258163.88
2008-05-02,2008-06-20,49,63.42,51.22,-787631.0
2008-09-05,2008-10-24,49,478.97,414.56,-189597.68
2009-02-13,2010-01-29,350,530.7,899.82,808216.26
2009-04-17,2009-09-18,154,121.82,125.44,284007.0
2009-04-24,2010-11-12,567,45.15,83.0,1678639.81
2009-05-01,2010-05-14,378,214.41,280.94,1071843.44
2009-05-22,2009-10-30,161,37.14,32.86,-119521.94
2009-05-22,2010-01-22,245,82.33,90.15,235213.15
2009-05-22,2009-12-11,203,103.95,100.74,-55007.68
2009-06-05,2011-01-21,595,26.14,97.07,31662049.62
2009-06-12,2010-05-07,329,59.85,116.29,3007078.6
2009-06-12,2009-10-23,133,121.05,94.68,-221747.89
2009-06-19,2011-01-28,588,130.64,282.41,2677500.97
2009-07-24,2011-01-21,546,112.08,231.65,2767769.65
2009-07-24,2010-02-05,196,134.39,158.24,171608.65
2009-07-24,2010-04-09,259,39.16,57.9,584185.95
2009-07-24,2010-05-07,287,42.44,58.76,5434584.52
2009-09-11,2010-05-21,252,109.3,133.24,137467.09
2009-09-18,2010-06-04,259,66.25,89.91,857594.68
2009-12-25,2010-02-05,42,110.78,98.42,-172248.48
2010-02-26,2010-07-30,154,1026.02,1089.27,111802.13
2010-02-26,2010-11-19,266,123.27,133.15,58212.26
2010-04-23,2010-06-25,63,65.35,60.57,-141879.04
2010-05-14,2010-11-12,182,51.83,44.03,-372224.22
2010-06-25,2010-11-26,154,102.19,101.5,-33594.66
